Index,Artist Name,Lead Streams,Feats,Tracks,One Billion,100 Million,Last Updated
143,Anitta,"6,801,733,116","1,407,362,033",175,0,20,20922
144,Enrique Iglesias,"6,764,228,183","340,675,073",282,0,13,180922
145,Fleetwood Mac,"6,753,161,276","563,244",768,1,11,130922
146,The Rolling Stones,"6,727,427,341","6,784,031","1,073",0,14,170922
147,The Neighbourhood,"6,718,687,991","1,183,878",90,1,12,120822
148,Pink Floyd,"6,714,780,376",0,436,0,13,160922
149,Britney Spears,"6,671,486,096","689,481,019",292,0,19,190922
150,Michael Bublé,"6,667,559,320","313,876,033",239,0,18,120922
151,The Kid LAROI,"6,647,734,218","847,871,845",49,1,16,160922
152,Guns N' Roses,"6,615,411,211","55,151",139,1,10,190922
153,Flo Rida,"6,555,092,666","1,786,418,102",229,0,11,310722
154,Camilo,"6,519,784,854","887,878,975",49,0,20,130922
155,Ty Dolla $ign,"6,503,653,017","10,647,843,904",191,0,14,30922
156,Kid Cudi,"6,488,863,340","1,505,742,485",160,0,12,80922
157,Disney,"6,480,840,953","819,435,187",529,0,14,310722
158,Becky G,"6,434,404,802","1,302,187,576",110,0,16,190922
159,Jonas Blue,"6,422,049,491","111,388,929",165,0,9,310722
160,Russ,"6,409,448,257","120,435,639",368,0,14,310822
161,Luis Fonsi,"6,388,525,172","444,209,070",187,2,10,110822
162,2Pac,"6,328,173,362","345,066,838",316,0,16,60922
163,Reik,"6,327,803,667","330,177,113",172,0,16,310722
164,50 Cent,"6,248,846,278","2,758,573,236",185,0,14,160922
165,Childish Gambino,"6,247,735,359","604,415,192",86,1,13,180822
166,Gorillaz,"6,243,417,623","1,329,013",283,0,11,170922
167,Ava Max,"6,182,963,810","222,536,835",105,1,15,190922
168,Jhay Cortez,"6,170,553,828","1,249,018,420",82,1,11,200822
169,Bastille,"6,158,728,878","156,539,720",205,2,10,90922
170,Joji,"6,150,774,573","723,433,712",52,0,17,190922
171,Polo G,"6,136,158,071","2,095,079,434",75,0,14,310722
172,Lorde,"6,006,934,967","286,523,906",57,0,19,190922
173,Usher,"5,981,518,153","3,241,074,771",257,0,15,150922
174,Hozier,"5,967,126,876",0,69,1,14,180922
175,David Bowie,"5,960,976,370","35,086,750","1,315",1,12,130922
176,Banda MS de Sergio Lizárraga,"5,924,856,095","5,520,822",216,0,19,310722
177,Luke Combs,"5,890,199,848","150,384,172",68,0,15,210822
178,Mariah Carey,"5,888,465,193","401,002,898",660,1,12,200922
179,Skrillex,"5,881,756,686","1,640,865,351",149,0,14,310722
180,Christian Nodal,"5,835,820,936","409,256,344",69,0,18,200822
181,Big Sean,"5,791,066,758","6,189,567,932",153,0,13,40922
182,The Killers,"5,774,550,053","359,729",213,1,11,180922
183,Alessia Cara,"5,768,256,100","2,748,095,478",138,2,8,40922
184,Foo Fighters,"5,761,240,710",0,237,0,12,150922
185,Playboi Carti,"5,756,121,719","1,679,604,284",82,0,14,170922
186,French Montana,"5,687,956,941","3,407,044,954",672,1,11,50822
187,Tory Lanez,"5,657,531,451","2,622,981,646",256,0,12,80922
188,U2,"5,622,227,589","303,372,985",522,0,8,180922
189,Manuel Turizo,"5,610,907,877","2,311,637,889",66,0,17,260822
190,Meek Mill,"5,609,538,227","1,900,550,120",440,0,9,120922
191,Jack Harlow,"5,606,152,807","315,806,334",96,1,10,120922
192,blink-182,"5,568,505,079","66,190,562",185,0,10,140922
193,Led Zeppelin,"5,554,421,214","118,988",241,0,13,180922
194,Daft Punk,"5,551,691,330","3,320,364,189",190,0,12,240822
195,Radiohead,"5,531,324,257","2,206,126",233,0,8,180922
196,Jorge & Mateus,"5,486,263,204","1,108,375,019",280,0,11,120922
197,Henrique & Juliano,"5,466,963,460","812,748,773",177,0,14,120922
198,Roddy Ricch,"5,446,354,074","3,489,978,704",61,1,15,200922
199,Elvis Presley,"5,442,877,510","5,634,626","1,855",0,11,30922
200,Meghan Trainor,"5,418,874,209","1,025,879,971",141,0,11,180922
201,Paulo Londra,"5,408,739,140","119,832,137",37,0,16,160922
202,Labrinth,"5,408,385,063","396,587,742",149,0,14,310722
203,John Legend,"5,384,405,995","2,403,169,234",249,1,8,310722
204,Frank Sinatra,"5,382,091,415","77,042,747","2,171",0,13,140822
205,Don Omar,"5,374,011,725","1,957,856,299",237,0,13,80922
206,Morgan Wallen,"5,345,429,164","521,301,528",60,0,17,130922
207,System Of A Down,"5,306,747,245","997,641",83,0,10,180822
208,Megan Thee Stallion,"5,274,621,614","1,656,164,329",131,1,12,190922
209,Rita Ora,"5,257,167,753","709,421,106",133,0,14,190922
210,The 1975,"5,232,430,866","156,055,221",136,0,13,130922
211,Rae Sremmurd,"5,226,974,030","544,047,899",62,0,13,80922
212,Tame Impala,"5,214,042,684","174,098,397",101,1,11,200922
213,Melanie Martinez,"5,194,199,440","5,232,238",58,0,17,190922
214,TWICE,"5,181,586,735","39,496,270",220,0,13,170922
215,Muse,"5,181,150,140","6,402,079",253,0,11,100922
216,Gucci Mane,"5,179,422,858","4,905,865,217","2,117",0,5,170822
217,Jack Johnson,"5,176,854,131","39,660,958",190,0,9,70922
218,The Notorious B.I.G.,"5,171,977,853","699,574,957",185,0,12,310722
219,Troye Sivan,"5,103,726,645","873,635,526",105,0,12,190922
220,Bon Jovi,"5,101,338,141","1,335,247",329,1,9,170922
221,Paramore,"5,095,348,178",0,114,0,11,140922
222,Mumford & Sons,"5,088,124,853","18,747,880",121,0,12,150922
223,ABBA,"5,004,152,913","146,654",160,0,14,10922
224,6ix9ine,"4,988,907,666","1,117,326,282",57,0,16,140922
225,Slipknot,"4,980,473,881",0,208,0,10,110822
226,Bazzi,"4,941,186,159","62,540,256",39,0,12,310722
227,Gusttavo Lima,"4,938,141,476","876,355,276",287,0,9,260822
228,Oasis,"4,924,851,582","1,134",237,1,7,190922
229,Morat,"4,919,640,815","436,178,161",74,0,15,310822
230,Sean Paul,"4,910,936,441","3,853,999,824",400,0,10,310722
231,Felix Jaehn,"4,901,374,743","194,535,961",172,1,12,310722
232,The Lumineers,"4,894,719,810",0,86,0,8,290822
233,Justin Quiles,"4,878,976,278","4,310,489,285",163,0,14,310722
234,Dalex,"4,871,872,181","1,036,388,958",129,0,15,30922
235,Duki,"4,869,537,547","937,757,024",147,0,13,120922
236,Swae Lee,"4,836,929,180","5,692,666,319",59,1,10,310722
237,Hailee Steinfeld,"4,815,845,560","606,712,238",31,1,10,190922
238,Julia Michaels,"4,811,539,257","1,690,872,391",65,1,7,160922
239,Rammstein,"4,781,710,534","3,762,124",245,0,10,270822
240,Alicia Keys,"4,777,678,003","1,427,914,798",253,0,8,170922
241,Alok,"4,738,018,362","231,488,539",212,0,12,290822
242,Madonna,"4,718,747,892","138,810,390",762,0,7,200922
243,Jess Glynne,"4,712,325,038","543,326,342",82,1,10,180922
244,Zion & Lennox,"4,710,887,632","2,887,125,495",159,0,11,310722
245,Disclosure,"4,690,114,197","24,281,620",186,0,7,310722
246,Christina Aguilera,"4,686,000,540","1,808,585,763",281,0,9,190822
247,Kings of Leon,"4,669,462,543",0,121,0,8,180922
248,6LACK,"4,650,333,571","952,817,602",79,0,10,30922
249,Cheat Codes,"4,629,305,378","313,902,252",151,0,7,310722
250,Tove Lo,"4,629,278,952","1,360,259,448",144,0,7,90922
251,Creedence Clearwater Revival,"4,623,595,600",0,145,0,11,230822
252,Florence + The Machine,"4,614,759,836","378,905",160,0,9,180922
253,Florida Georgia Line,"4,609,041,041","2,478,742,591",124,0,15,210822
254,My Chemical Romance,"4,607,083,284",0,139,0,11,140922
255,Alesso,"4,597,495,128","137,641,031",129,0,10,130822
256,Arijit Singh,"4,573,567,798","939,497,796",572,0,4,10922
257,Glass Animals,"4,554,159,224","4,423,329",109,1,6,150922
258,The Script,"4,553,052,747","1,343,266",99,1,8,120922
259,Zé Neto & Cristiano,"4,540,609,590","463,313,203",169,0,13,120922
260,Whitney Houston,"4,519,561,495","14,222,939",282,0,9,190922
261,Chance the Rapper,"4,517,223,691","3,118,921,754",105,0,12,50922
262,Piso 21,"4,511,325,667","62,804,762",86,0,12,310722
263,Five Finger Death Punch,"4,506,617,068",0,138,0,9,310722
264,Bruce Springsteen,"4,480,464,759","47,313,864",821,0,10,110922
265,Arcangel,"4,475,257,907","5,081,836,495",244,0,11,110822
266,Nickelback,"4,469,299,972",0,150,0,12,60922
267,Fifth Harmony,"4,468,944,634","184,240,949",75,1,7,190922
268,Lenny Tavárez,"4,449,161,492","3,924,285,642",94,0,10,310722
269,Jason Mraz,"4,439,148,339","98,804,484",238,1,6,310722
270,Galantis,"4,427,621,050","102,139,066",243,0,8,310722
271,Avril Lavigne,"4,418,987,832","25,567,335",154,0,10,100922
272,Glee Cast,"4,375,931,294",0,723,0,0,230822
273,Bring Me The Horizon,"4,372,894,185","85,729,842",141,0,11,190922
